"market_id","created_at","actual_delivery_time","store_id","store_primary_category","order_protocol","total_items","subtotal","num_distinct_items","min_item_price","max_item_price","total_onshift_dashers","total_busy_dashers","total_outstanding_orders","estimated_order_place_duration","estimated_store_to_consumer_driving_duration"
"1",2015-02-06 22:24:17,2015-02-06 23:27:16,"1845","american","1",4,3441,4,557,1239,33,14,21,446,861
"2",2015-02-10 21:49:25,2015-02-10 22:56:29,"5477","mexican","2",1,1900,1,1400,1400,1,2,2,446,690
"3",2015-01-22 20:39:28,2015-01-22 21:09:09,"5477",NA,"1",1,1900,1,1900,1900,1,0,0,446,690
"3",2015-02-03 21:21:45,2015-02-03 22:13:00,"5477",NA,"1",6,6900,5,600,1800,1,1,2,446,289
"3",2015-02-15 02:40:36,2015-02-15 03:20:26,"5477",NA,"1",3,3900,3,1100,1600,6,6,9,446,650
"3",2015-01-28 20:30:38,2015-01-28 21:08:58,"5477",NA,"1",3,5000,3,1500,1900,2,2,2,446,338
"3",2015-01-31 02:16:36,2015-01-31 02:43:00,"5477",NA,"1",2,3900,2,1200,2700,10,9,9,446,638
"3",2015-02-12 03:03:35,2015-02-12 03:36:20,"5477",NA,"1",4,4850,4,750,1800,7,8,7,446,626
"2",2015-02-16 00:11:35,2015-02-16 00:38:01,"5477","indian","3",4,4771,3,820,1604,8,6,18,446,289
"3",2015-02-18 01:15:45,2015-02-18 02:08:57,"5477",NA,"1",2,2100,2,700,1200,2,2,2,446,715
"3",2015-02-02 19:22:53,2015-02-02 20:09:19,"5477",NA,"4",4,4300,4,1200,1500,1,1,1,446,453
"3",2015-02-16 04:19:33,2015-02-16 06:34:00,"5477",NA,"1",2,2200,2,600,1600,3,3,4,446,642
"3",2015-02-07 01:34:31,2015-02-07 02:17:14,"5477",NA,"1",1,1900,1,1900,1900,6,3,3,446,690
"3",2015-01-25 01:50:51,2015-01-25 02:28:53,"5477",NA,"4",4,4986,4,699,2362,16,6,9,446,445
"1",2015-02-12 03:36:46,2015-02-12 04:14:39,"2841","italian","1",1,1525,1,1525,1525,5,6,8,446,795
"1",2015-01-27 02:12:36,2015-01-27 03:02:24,"2841","italian","1",2,3620,2,1425,2195,5,5,7,446,205
"1",2015-02-06 00:42:42,2015-02-06 02:10:29,"2841","italian","1",3,4475,3,925,1825,4,1,1,446,542
"1",2015-02-08 02:04:17,2015-02-08 03:27:13,"2841","italian","1",3,4375,3,1325,1625,6,4,3,446,789
"1",2015-01-31 04:35:54,2015-01-31 05:47:30,"2841","italian","1",2,3150,2,1425,1725,4,9,12,446,548
"1",2015-01-31 02:21:23,2015-01-31 03:11:42,"4139","mexican","1",2,950,2,150,700,24,24,26,446,212
"1",2015-01-31 23:45:12,2015-02-01 00:14:05,"4139","mexican","1",5,1285,3,150,400,12,13,11,446,424
"1",2015-02-17 03:13:20,2015-02-17 04:00:31,"5058","italian","1",4,5800,4,700,2000,19,19,30,446,344
"1",2015-02-15 01:26:20,2015-02-15 02:16:07,"5058","italian","1",2,2800,2,1200,1600,21,17,16,446,421
"1",2015-02-02 05:27:49,2015-02-02 07:05:09,"5058","italian","1",7,14900,5,1200,3900,8,11,11,446,901
"1",2015-02-16 02:21:20,2015-02-16 03:54:14,"5058","italian","1",3,3400,3,1400,2100,22,21,39,446,501
"1",2015-02-13 01:01:58,2015-02-13 01:40:09,"5058","italian","1",3,3800,3,700,1600,16,9,7,446,344
"1",2015-01-24 02:01:20,2015-01-24 02:46:13,"5058","italian","1",1,1800,1,1800,1800,27,25,24,446,424
"1",2015-02-10 04:36:39,2015-02-10 05:20:37,"5058","italian","1",4,5800,4,700,2000,13,16,27,446,344
"1",2015-01-26 02:09:48,2015-01-26 02:47:22,"5058","italian","1",3,3800,3,800,1800,21,18,20,446,530
"1",2015-02-07 01:44:26,2015-02-07 02:48:06,"5058","italian","1",1,1800,1,1800,1800,22,21,20,446,434
"1",2015-01-30 01:43:09,2015-01-30 02:20:42,"5058","italian","1",2,2700,2,1200,1500,16,16,13,446,456
"3",2015-01-30 19:49:30,2015-01-30 20:28:45,"4149","sandwich","2",4,3490,3,175,850,16,16,21,251,298
"1",2015-01-28 20:33:04,2015-01-28 21:04:14,"4149",NA,NA,3,1765,3,275,895,22,21,24,251,490
"1",2015-02-12 20:27:42,2015-02-12 21:18:29,"4149",NA,"2",1,975,1,975,975,24,25,30,251,487
"1",2015-01-28 21:37:38,2015-01-28 22:11:53,"4149",NA,"2",3,1425,3,175,900,13,12,7,251,704
"2",2015-02-09 20:29:30,2015-02-09 21:17:34,"4149","thai","5",1,1220,1,825,825,21,21,20,251,835
"1",2015-01-21 20:35:27,2015-01-21 21:01:26,"4149",NA,"2",2,1750,2,825,825,18,18,20,251,259
"1",2015-02-16 19:19:17,2015-02-16 20:16:43,"4149",NA,"2",8,7870,6,825,895,12,11,9,251,98
"1",2015-01-27 20:26:19,2015-01-27 21:03:53,"4149",NA,"2",2,1725,2,825,900,21,18,18,251,294
"1",2015-01-22 20:19:08,2015-01-22 21:07:43,"4149",NA,"2",3,2015,3,395,1025,22,13,13,251,740
"1",2015-02-10 20:05:17,2015-02-10 20:34:43,"4149",NA,"2",1,1220,1,825,825,21,21,20,251,835
"1",2015-01-27 18:32:58,2015-01-27 19:02:09,"3201","cafe","4",2,595,2,200,295,5,1,1,251,186
"4",2015-02-07 01:36:34,2015-02-07 02:46:27,"5054","italian","1",4,5500,4,700,1900,117,112,178,446,588
"4",2015-02-14 03:04:07,2015-02-14 04:25:25,"5054","italian","1",5,5400,3,600,2200,130,129,230,446,795
"4",2015-02-08 02:50:54,2015-02-08 04:03:49,"5054","italian","1",4,7104,3,751,2191,121,119,205,446,530
NA,2015-02-09 03:27:37,2015-02-09 04:22:18,"5054","italian","1",2,2400,2,600,1800,94,92,149,446,287
"3",2015-02-12 03:12:08,2015-02-12 03:44:48,"2004","american","5",5,6200,5,500,1800,34,30,28,251,86
"3",2015-02-18 04:26:00,2015-02-18 05:05:00,"2004","american","5",2,2800,2,1000,1800,18,15,15,251,821
"3",2015-02-15 04:09:59,2015-02-15 04:50:02,"2004","american","5",4,5800,4,600,2400,33,33,42,251,179
"3",2015-02-17 21:34:38,2015-02-17 22:04:26,"2004","american","5",2,2641,2,625,1240,27,22,24,251,89
"3",2015-02-14 05:34:07,2015-02-14 06:15:13,"2004","american","5",2,2500,2,600,1900,17,13,12,251,898
"3",2015-02-06 03:03:15,2015-02-06 03:43:43,"2004","american","5",3,3300,3,600,1800,38,37,43,251,648
"3",2015-02-17 01:14:22,2015-02-17 01:52:26,"2004","american","5",4,5100,4,500,1900,16,16,26,251,1056
"3",2015-02-01 04:39:28,2015-02-01 05:08:39,"2004","american","5",4,3500,4,600,1200,20,29,33,251,887
"3",2015-01-23 00:38:47,2015-01-23 00:59:51,"2004","american","5",3,3500,3,500,1900,16,5,5,251,271
"3",2015-01-22 20:31:45,2015-01-22 21:17:51,"2004","american","5",2,3600,1,1800,1800,21,21,21,251,469
"3",2015-01-26 22:22:56,2015-01-26 22:54:35,"2004","american","5",7,9000,7,600,2400,15,12,11,251,679
"3",2015-02-10 03:05:36,2015-02-10 03:38:43,"2004","american","5",3,4709,3,1197,1596,34,29,30,251,551
"3",2015-01-23 21:06:30,2015-01-23 21:41:57,"2004","american","5",2,2800,2,1000,1800,21,23,24,251,828
"3",2015-01-25 02:16:56,2015-01-25 02:58:53,"2004","american","5",10,9800,6,600,1200,39,37,37,251,723
"3",2015-01-28 03:31:13,2015-01-28 04:31:26,"2004","american","5",2,2800,2,1000,1800,21,23,27,251,828
"3",2015-01-31 01:44:15,2015-01-31 02:30:17,"2004","american","5",2,2800,2,1300,1500,26,25,24,251,470
"3",2015-01-31 03:10:05,2015-01-31 04:05:54,"2004","american","5",6,5800,6,500,1500,30,31,46,251,729
"3",2015-01-24 01:47:46,2015-01-24 02:20:15,"2004","american","5",6,5500,6,500,1300,35,31,28,251,663
"3",2015-02-18 02:56:08,2015-02-18 03:31:40,"2004","american","5",3,3400,3,600,1900,34,34,36,251,678
"3",2015-02-05 02:17:09,2015-02-05 02:52:06,"2004","american","5",4,4900,4,600,2400,33,33,33,251,429
"3",2015-02-14 01:27:19,2015-02-14 02:02:00,"2004","american","5",3,6000,2,1200,2400,24,24,21,251,285
"3",2015-02-17 00:11:00,2015-02-17 01:09:15,"2004","american","5",1,1800,1,1800,1800,11,11,13,251,715
"3",2015-02-05 20:18:13,2015-02-05 20:54:39,"2004","american","5",2,3600,2,1200,2400,20,20,18,251,891
"3",2015-02-04 21:57:23,2015-02-04 22:43:33,"2004","american","5",1,1800,1,1800,1800,14,9,9,251,469
"4",2015-02-11 01:07:54,2015-02-11 01:48:15,"2004","salad","1",5,4600,5,600,1200,12,13,14,251,163
"3",2015-02-15 05:32:36,2015-02-15 06:25:38,"2004","american","5",2,1600,2,600,1000,13,13,16,251,382
"3",2015-02-06 22:41:27,2015-02-06 23:30:50,"2004","american","5",1,1500,1,1500,1500,12,14,15,251,446
"3",2015-01-29 03:03:49,2015-01-29 03:38:45,"2004","american","5",4,5200,2,800,1800,35,30,29,251,406
"2",2015-02-13 03:48:58,2015-02-13 04:26:51,"2004","pizza","2",4,2300,3,400,900,32,30,37,251,555
"3",2015-02-15 02:16:23,2015-02-15 03:20:20,"1984","chinese","4",4,3250,4,725,945,29,29,32,446,456
"3",2015-02-12 02:36:17,2015-02-12 03:17:36,"1984","chinese","1",5,2943,4,199,945,20,19,18,446,491
"3",2015-02-07 02:12:18,2015-02-07 02:48:56,"1984","chinese","1",6,3628,5,199,945,34,23,18,446,691
"3",2015-01-25 02:30:24,2015-01-25 03:30:19,"1984","chinese","1",4,2595,4,450,875,25,24,28,446,924
"3",2015-01-30 02:59:15,2015-01-30 03:38:45,"1984","chinese","1",3,2355,3,475,935,23,23,27,446,512
"3",2015-01-31 02:57:36,2015-01-31 03:24:37,"4905","mexican","1",3,1693,3,109,800,61,62,72,446,388
"3",2015-01-26 02:51:14,2015-01-26 03:27:36,"4905","mexican","1",3,1967,3,269,899,41,28,27,446,749
"3",2015-02-01 01:47:43,2015-02-01 02:17:19,"4905","mexican","1",3,2168,3,500,800,58,44,43,446,785
"3",2015-01-27 00:45:03,2015-01-27 01:23:41,"4905","mexican","1",3,1889,3,350,800,14,13,14,446,587
"3",2015-02-12 02:35:53,2015-02-12 03:04:50,"4905","mexican","1",2,1153,2,289,685,51,39,41,446,696
"3",2015-02-07 01:25:26,2015-02-07 02:12:04,"4905","mexican","1",2,1658,2,779,879,32,32,37,446,178
"3",2015-02-14 02:34:01,2015-02-14 03:29:41,"4905","mexican","1",5,3608,5,299,799,57,53,54,446,517
"3",2015-01-24 03:27:33,2015-01-24 03:58:51,"4905","mexican","1",1,978,1,799,799,60,52,49,446,771
"3",2015-02-05 20:05:59,2015-02-05 21:39:16,"4905","mexican","1",2,1706,2,749,789,23,23,23,446,603
"3",2015-02-07 23:45:40,2015-02-08 00:37:08,"4905","mexican","1",2,1150,2,350,800,17,13,13,446,755
"3",2015-01-24 03:10:14,2015-01-24 04:00:39,"4905","mexican","4",3,2600,3,685,800,60,59,56,446,529
"3",2015-02-07 02:17:38,2015-02-07 03:00:59,"4905","mexican","1",2,884,2,199,685,58,57,60,446,531
"3",2015-01-29 18:56:20,2015-01-29 19:26:39,"1698","sandwich","3",1,975,1,975,975,2,2,1,251,NA
"3",2015-02-16 22:09:05,2015-02-16 23:11:11,"1698","sandwich","3",1,1125,1,975,975,7,7,7,251,813
"3",2015-02-16 00:30:26,2015-02-16 01:50:42,"1698","sandwich","3",4,2600,4,150,1325,6,6,10,251,634
"3",2015-01-22 18:37:17,2015-01-22 19:26:50,"1698","sandwich","3",1,975,1,975,975,4,3,4,251,745
"3",2015-01-26 19:55:22,2015-01-26 21:19:06,"1698","sandwich","3",2,970,2,195,675,3,3,5,251,651
"3",2015-01-23 05:00:44,2015-01-23 05:42:03,"1698","sandwich","3",2,970,2,195,675,4,5,5,251,532
"3",2015-02-11 02:11:15,2015-02-11 02:58:00,"1698","sandwich","3",5,2475,3,150,975,7,8,5,251,380
